Time,People_Count,Status
2026-02-02 10:37:15.648964,1,SAFE
2026-02-02 10:37:22.016451,1,SAFE
2026-02-02 10:37:28.672291,1,SAFE
2026-02-02 10:37:34.997925,1,SAFE
2026-02-02 10:37:41.180677,1,SAFE
2026-02-02 10:37:47.541382,1,SAFE
2026-02-02 10:37:53.618539,1,SAFE
2026-02-02 10:38:00.060985,1,SAFE
2026-02-02 10:38:08.488198,1,SAFE
2026-02-02 10:38:08.993247,1,SAFE
2026-02-02 10:38:53.883290,2,SAFE
2026-02-02 10:39:34.564412,3,SAFE
2026-02-02 10:39:41.818875,3,SAFE
2026-02-02 10:39:48.135843,3,SAFE
2026-02-02 10:39:54.498857,3,SAFE
2026-02-02 10:40:00.729331,3,SAFE
2026-02-02 10:40:07.034665,3,SAFE
2026-02-02 10:40:13.960151,3,SAFE
2026-02-02 10:40:20.201345,3,SAFE
2026-02-02 10:40:26.824352,3,SAFE
2026-02-02 10:40:33.852042,2,SAFE
2026-02-02 10:40:41.348179,2,SAFE
2026-02-02 10:40:47.770630,3,SAFE
2026-02-02 10:40:49.559176,2,SAFE
2026-02-02 10:40:58.660687,0,SAFE
2026-02-02 10:40:59.122013,3,SAFE
2026-02-02 10:41:05.899653,4,SAFE
2026-02-02 10:41:13.419880,3,SAFE
2026-02-02 10:41:15.206763,2,SAFE
2026-02-02 10:41:23.869319,3,SAFE
2026-02-02 10:41:24.688531,4,SAFE
2026-02-02 10:41:33.493093,0,SAFE
2026-02-02 10:41:34.005456,3,SAFE
2026-02-02 10:41:41.156218,3,SAFE
2026-02-02 10:41:46.223847,4,SAFE
2026-02-02 10:41:53.573407,3,SAFE
2026-02-02 10:42:09.974060,3,SAFE
2026-02-02 10:42:16.447080,3,SAFE
2026-02-02 10:42:22.774039,2,SAFE
2026-02-02 10:42:29.149575,0,SAFE
2026-02-02 10:42:36.042040,0,SAFE
2026-02-02 10:42:49.509805,0,SAFE
2026-02-02 10:42:55.617653,3,SAFE
2026-02-02 10:42:58.191192,3,SAFE
2026-02-02 10:43:01.677120,3,SAFE
2026-02-02 10:43:04.541971,3,SAFE
2026-02-02 10:43:06.903564,2,SAFE
2026-02-02 10:43:13.982299,1,SAFE
2026-02-02 10:43:20.088625,3,SAFE
2026-02-02 10:43:22.344504,3,SAFE
2026-02-02 10:43:26.711139,3,SAFE
2026-02-02 10:43:29.239296,3,SAFE
2026-02-02 10:43:30.741800,3,SAFE
2026-02-02 10:43:38.801986,3,SAFE
2026-02-02 10:43:44.034677,3,SAFE
2026-02-02 10:43:46.710477,3,SAFE
2026-02-02 10:43:51.071957,3,SAFE
2026-02-02 10:43:54.147404,4,SAFE
2026-02-02 10:43:54.653472,3,SAFE
2026-02-02 10:44:04.968746,3,SAFE
2026-02-02 10:44:09.181254,3,SAFE
2026-02-02 10:44:13.347693,3,SAFE
2026-02-02 10:44:16.438296,3,SAFE
2026-02-02 10:44:19.009437,4,SAFE
2026-02-02 10:44:19.404164,4,SAFE
2026-02-02 10:44:27.652241,3,SAFE
2026-02-02 10:44:32.345550,0,SAFE
2026-02-02 10:44:36.260372,0,SAFE
2026-02-02 10:44:39.477974,0,SAFE
2026-02-02 10:44:42.072116,0,SAFE
2026-02-02 10:44:42.618537,0,SAFE
2026-02-02 10:44:50.902660,0,SAFE
2026-02-02 10:44:55.592184,0,SAFE
2026-02-02 10:44:59.701446,0,SAFE
2026-02-02 10:45:01.790166,0,SAFE
2026-02-02 10:45:04.750078,0,SAFE
2026-02-02 10:45:05.158225,1,SAFE
2026-02-02 10:45:13.154434,1,SAFE
2026-02-02 10:45:17.737333,1,SAFE
2026-02-02 10:45:22.387921,0,SAFE
2026-02-02 10:45:24.382867,2,SAFE
2026-02-02 10:45:26.538378,4,SAFE
2026-02-02 10:45:27.557495,2,SAFE
2026-02-02 10:45:35.449726,2,SAFE
2026-02-02 10:45:40.380176,2,SAFE
2026-02-02 10:45:45.675030,2,SAFE
2026-02-02 10:45:46.967508,1,SAFE
2026-02-02 10:45:49.672468,0,SAFE
2026-02-02 10:45:50.024664,0,SAFE
2026-02-02 10:45:58.980486,1,SAFE
2026-02-02 10:46:03.745318,2,SAFE
2026-02-02 10:46:08.027584,2,SAFE
2026-02-02 10:46:09.299435,4,SAFE
2026-02-02 10:46:11.937603,0,SAFE
2026-02-02 10:46:12.317654,2,SAFE
2026-02-02 10:46:21.337782,2,SAFE
2026-02-02 10:46:26.411151,4,SAFE
2026-02-02 10:46:30.513591,2,SAFE
2026-02-02 10:46:30.976569,2,SAFE
2026-02-02 10:46:33.845501,3,SAFE
2026-02-02 10:46:34.627731,2,SAFE
2026-02-02 10:46:44.433445,2,SAFE
2026-02-02 10:46:50.054469,2,SAFE
2026-02-02 10:46:53.628035,0,SAFE
2026-02-02 10:46:54.078514,2,SAFE
2026-02-02 10:46:57.894024,0,SAFE
2026-02-02 10:46:58.311986,2,SAFE
2026-02-02 10:47:07.713007,3,SAFE
2026-02-02 10:47:13.375116,2,SAFE
2026-02-02 10:47:16.456730,0,SAFE
2026-02-02 10:47:16.895982,2,SAFE
2026-02-02 10:47:20.846478,2,SAFE
2026-02-02 10:47:21.148974,1,SAFE
2026-02-02 10:47:30.417027,2,SAFE
2026-02-02 10:47:36.037265,3,SAFE
2026-02-02 10:47:37.905404,2,SAFE
2026-02-02 10:47:39.391020,3,SAFE
2026-02-02 10:47:43.301420,2,SAFE
2026-02-02 10:47:43.817698,2,SAFE
2026-02-02 10:47:53.272112,2,SAFE
2026-02-02 10:47:58.289636,3,SAFE
2026-02-02 10:48:00.144142,2,SAFE
2026-02-02 10:48:02.305371,2,SAFE
2026-02-02 10:48:06.294326,3,SAFE
2026-02-02 10:48:06.763174,2,SAFE
2026-02-02 10:48:15.891921,2,SAFE
2026-02-02 10:48:21.424812,2,SAFE
2026-02-02 10:48:21.882583,2,SAFE
2026-02-02 10:48:24.846301,2,SAFE
2026-02-02 10:48:28.833237,2,SAFE
2026-02-02 10:48:29.314995,2,SAFE
2026-02-02 10:48:38.566217,2,SAFE
2026-02-02 10:48:43.126241,0,SAFE
2026-02-02 10:48:43.577280,2,SAFE
2026-02-02 10:48:46.667339,2,SAFE
2026-02-02 10:48:51.345803,3,SAFE
2026-02-02 10:48:51.692390,2,SAFE
2026-02-02 10:49:00.343916,2,SAFE
2026-02-02 10:49:05.727049,2,SAFE
2026-02-02 10:49:06.655513,2,SAFE
2026-02-02 10:49:08.077473,2,SAFE
2026-02-02 10:49:13.446484,2,SAFE
2026-02-02 10:49:14.148190,2,SAFE
2026-02-02 10:49:22.263057,2,SAFE
2026-02-02 10:49:27.129871,2,SAFE
2026-02-02 10:49:28.920204,2,SAFE
2026-02-02 10:49:29.969076,2,SAFE
2026-02-02 10:49:35.849979,0,SAFE
2026-02-02 10:49:36.350932,2,SAFE
2026-02-02 10:49:45.379709,2,SAFE
